22,15
32,15
9,14
51,14
56,13
24,12
35,12
58,12
63,12
44,12
59,12
4,11
29,11
43,11
47,11
41,11
45,11
6,11
10,11
13,10
69,10
8,10
28,10
34,10
48,10
12,10
53,10
3,10
61,10
39,10
66,10
25,9
50,9
54,9
64,9
21,9
36,9
38,9
40,9
57,9
65,9
1,9
37,9
7,8
27,8
15,8
55,8
2,8
60,8
70,8
23,8
49,8
20,8
26,8
42,7
14,7
68,7
18,7
19,7
52,7
46,6
17,6
30,6
62,6
5,6
11,5
16,5
31,5
33,4
67,2
